date,scenario,cost_centre,account,amount,headcount,average_employee_cost,seasonality_profile
2024-01-01,Actual,Sales,Payroll,3959113.62,42,94264.61,payroll
2024-01-01,Actual,Operations,Payroll,2884757.54,34,84845.81,payroll
2024-01-01,Actual,Product & R&D,Payroll,4772830.28,46,103757.18,payroll
2024-01-01,Actual,Finance,Payroll,1005217.8,10,100521.78,payroll
2024-01-01,Actual,People,Payroll,660976.12,7,94425.16,payroll
2024-01-01,Actual,Technology,Payroll,1498726.65,15,99915.11,payroll
2024-01-01,Actual,Corporate,Payroll,1003188.88,8,125398.61,payroll
2024-01-01,Actual,Operations,Contractors,502527.83,0,0.0,flat
2024-01-01,Actual,Product & R&D,Contractors,1396667.85,0,0.0,project
2024-01-01,Actual,Technology,Contractors,561493.78,0,0.0,project
2024-01-01,Actual,Sales,Marketing,2328977.04,0,0.0,commercial
2024-01-01,Actual,Technology,Software,883576.0,0,0.0,flat
2024-01-01,Actual,Product & R&D,Software,290928.2,0,0.0,flat
2024-01-01,Actual,Finance,Software,142600.77,0,0.0,flat
2024-01-01,Actual,Sales,Travel,484170.43,0,0.0,travel
2024-01-01,Actual,Operations,Travel,123656.09,0,0.0,travel
2024-01-01,Actual,Corporate,Travel,84758.8,0,0.0,travel
2024-01-01,Actual,Corporate,Facilities,1180915.14,0,0.0,flat
2024-01-01,Actual,Finance,Professional Services,222591.75,0,0.0,year_end
2024-01-01,Actual,People,Professional Services,191179.0,0,0.0,flat
2024-01-01,Actual,Corporate,Professional Services,300104.49,0,0.0,year_end
2024-01-01,Actual,Product & R&D,R&D,1264394.77,0,0.0,project
2024-01-01,Actual,Sales,Other OPEX,175048.21,0,0.0,flat
2024-01-01,Actual,Operations,Other OPEX,165683.8,0,0.0,flat
2024-01-01,Actual,Product & R&D,Other OPEX,148985.8,0,0.0,flat
2024-01-01,Actual,Finance,Other OPEX,84418.34,0,0.0,flat
2024-01-01,Actual,People,Other OPEX,66265.36,0,0.0,flat
2024-01-01,Actual,Technology,Other OPEX,102315.55,0,0.0,flat
2024-01-01,Actual,Corporate,Other OPEX,111947.33,0,0.0,flat
2024-02-01,Actual,Sales,Payroll,3976969.08,42,94689.74,payroll
2024-02-01,Actual,Operations,Payroll,2904510.86,34,85426.79,payroll
2024-02-01,Actual,Product & R&D,Payroll,4855952.28,46,105564.18,payroll
2024-02-01,Actual,Finance,Payroll,1002942.4,10,100294.24,payroll
2024-02-01,Actual,People,Payroll,667813.93,7,95401.99,payroll
2024-02-01,Actual,Technology,Payroll,1509240.15,15,100616.01,payroll
2024-02-01,Actual,Corporate,Payroll,997884.32,8,124735.54,payroll
2024-02-01,Actual,Operations,Contractors,512518.54,0,0.0,flat
2024-02-01,Actual,Product & R&D,Contractors,1481490.7,0,0.0,project
2024-02-01,Actual,Technology,Contractors,577742.68,0,0.0,project
2024-02-01,Actual,Sales,Marketing,2579186.38,0,0.0,commercial
2024-02-01,Actual,Technology,Software,931812.2,0,0.0,flat
2024-02-01,Actual,Product & R&D,Software,300094.63,0,0.0,flat
2024-02-01,Actual,Finance,Software,147650.44,0,0.0,flat
2024-02-01,Actual,Sales,Travel,535035.14,0,0.0,travel
2024-02-01,Actual,Operations,Travel,148627.73,0,0.0,travel
2024-02-01,Actual,Corporate,Travel,94267.52,0,0.0,travel
2024-02-01,Actual,Corporate,Facilities,1273420.77,0,0.0,flat
2024-02-01,Actual,Finance,Professional Services,218446.11,0,0.0,year_end
2024-02-01,Actual,People,Professional Services,184798.16,0,0.0,flat
2024-02-01,Actual,Corporate,Professional Services,328195.52,0,0.0,year_end
2024-02-01,Actual,Product & R&D,R&D,1296282.26,0,0.0,project
2024-02-01,Actual,Sales,Other OPEX,188719.3,0,0.0,flat
2024-02-01,Actual,Operations,Other OPEX,153106.79,0,0.0,flat
2024-02-01,Actual,Product & R&D,Other OPEX,137027.07,0,0.0,flat
2024-02-01,Actual,Finance,Other OPEX,74011.28,0,0.0,flat
2024-02-01,Actual,People,Other OPEX,69265.53,0,0.0,flat
2024-02-01,Actual,Technology,Other OPEX,99312.22,0,0.0,flat
2024-02-01,Actual,Corporate,Other OPEX,125134.71,0,0.0,flat
2024-03-01,Actual,Sales,Payroll,4126778.8,43,95971.6,payroll
2024-03-01,Actual,Operations,Payroll,2898746.5,34,85257.25,payroll
2024-03-01,Actual,Product & R&D,Payroll,4972700.58,47,105802.14,payroll
2024-03-01,Actual,Finance,Payroll,1004060.2,10,100406.02,payroll
2024-03-01,Actual,People,Payroll,666739.43,7,95248.49,payroll
2024-03-01,Actual,Technology,Payroll,1516065.6,15,101071.04,payroll
2024-03-01,Actual,Corporate,Payroll,1000992.8,8,125124.1,payroll
2024-03-01,Actual,Operations,Contractors,510056.7,0,0.0,flat
2024-03-01,Actual,Product & R&D,Contractors,1575411.41,0,0.0,project
2024-03-01,Actual,Technology,Contractors,629215.25,0,0.0,project
2024-03-01,Actual,Sales,Marketing,2806610.67,0,0.0,commercial
2024-03-01,Actual,Technology,Software,892499.6,0,0.0,flat
2024-03-01,Actual,Product & R&D,Software,300845.34,0,0.0,flat
2024-03-01,Actual,Finance,Software,152353.36,0,0.0,flat
2024-03-01,Actual,Sales,Travel,600085.47,0,0.0,travel
2024-03-01,Actual,Operations,Travel,158901.3,0,0.0,travel
2024-03-01,Actual,Corporate,Travel,110926.66,0,0.0,travel
2024-03-01,Actual,Corporate,Facilities,1276735.08,0,0.0,flat
2024-03-01,Actual,Finance,Professional Services,253041.31,0,0.0,year_end
2024-03-01,Actual,People,Professional Services,186870.44,0,0.0,flat
2024-03-01,Actual,Corporate,Professional Services,363988.24,0,0.0,year_end
2024-03-01,Actual,Product & R&D,R&D,1476606.68,0,0.0,project
