date,scenario,cost_centre,account,amount,headcount,average_employee_cost,seasonality_profile
2026-01-01,Budget,Sales,Payroll,4996319.52,48,104089.99,payroll
2026-01-01,Budget,Operations,Payroll,3438546.53,37,92933.69,payroll
2026-01-01,Budget,Product & R&D,Payroll,6427889.44,56,114783.74,payroll
2026-01-01,Budget,Finance,Payroll,1094402.5,10,109440.25,payroll
2026-01-01,Budget,People,Payroll,723272.83,7,103324.69,payroll
2026-01-01,Budget,Technology,Payroll,1859311.76,17,109371.28,payroll
2026-01-01,Budget,Corporate,Payroll,1102048.32,8,137756.04,payroll
2026-01-01,Budget,Operations,Contractors,515699.09,0,0.0,flat
2026-01-01,Budget,Product & R&D,Contractors,1673950.43,0,0.0,project
2026-01-01,Budget,Technology,Contractors,649286.84,0,0.0,project
2026-01-01,Budget,Sales,Marketing,2478429.16,0,0.0,commercial
2026-01-01,Budget,Technology,Software,1054222.04,0,0.0,flat
2026-01-01,Budget,Product & R&D,Software,365750.08,0,0.0,flat
2026-01-01,Budget,Finance,Software,171744.82,0,0.0,flat
2026-01-01,Budget,Sales,Travel,522796.34,0,0.0,travel
2026-01-01,Budget,Operations,Travel,141320.3,0,0.0,travel
2026-01-01,Budget,Corporate,Travel,90093.85,0,0.0,travel
2026-01-01,Budget,Corporate,Facilities,1317142.4,0,0.0,flat
2026-01-01,Budget,Finance,Professional Services,238260.87,0,0.0,year_end
2026-01-01,Budget,People,Professional Services,192748.06,0,0.0,flat
2026-01-01,Budget,Corporate,Professional Services,334865.91,0,0.0,year_end
2026-01-01,Budget,Product & R&D,R&D,1475805.87,0,0.0,project
2026-01-01,Budget,Sales,Other OPEX,198365.66,0,0.0,flat
2026-01-01,Budget,Operations,Other OPEX,183123.75,0,0.0,flat
2026-01-01,Budget,Product & R&D,Other OPEX,151384.34,0,0.0,flat
2026-01-01,Budget,Finance,Other OPEX,85024.4,0,0.0,flat
2026-01-01,Budget,People,Other OPEX,77928.05,0,0.0,flat
2026-01-01,Budget,Technology,Other OPEX,107191.91,0,0.0,flat
2026-01-01,Budget,Corporate,Other OPEX,132348.07,0,0.0,flat
2026-02-01,Budget,Sales,Payroll,5117732.48,49,104443.52,payroll
2026-02-01,Budget,Operations,Payroll,3445399.3,37,93118.9,payroll
2026-02-01,Budget,Product & R&D,Payroll,6442725.52,56,115048.67,payroll
2026-02-01,Budget,Finance,Payroll,1091549.2,10,109154.92,payroll
2026-02-01,Budget,People,Payroll,731078.6,7,104439.8,payroll
2026-02-01,Budget,Technology,Payroll,1860859.1,17,109462.3,payroll
2026-02-01,Budget,Corporate,Payroll,1095461.2,8,136932.65,payroll
2026-02-01,Budget,Operations,Contractors,549019.3,0,0.0,flat
2026-02-01,Budget,Product & R&D,Contractors,1790514.66,0,0.0,project
2026-02-01,Budget,Technology,Contractors,618338.43,0,0.0,project
2026-02-01,Budget,Sales,Marketing,2758570.79,0,0.0,commercial
2026-02-01,Budget,Technology,Software,1095761.17,0,0.0,flat
2026-02-01,Budget,Product & R&D,Software,321740.5,0,0.0,flat
2026-02-01,Budget,Finance,Software,167421.49,0,0.0,flat
2026-02-01,Budget,Sales,Travel,561658.9,0,0.0,travel
2026-02-01,Budget,Operations,Travel,153045.85,0,0.0,travel
2026-02-01,Budget,Corporate,Travel,107176.19,0,0.0,travel
2026-02-01,Budget,Corporate,Facilities,1299495.13,0,0.0,flat
2026-02-01,Budget,Finance,Professional Services,239975.08,0,0.0,year_end
2026-02-01,Budget,People,Professional Services,191757.26,0,0.0,flat
2026-02-01,Budget,Corporate,Professional Services,345446.04,0,0.0,year_end
2026-02-01,Budget,Product & R&D,R&D,1500137.82,0,0.0,project
2026-02-01,Budget,Sales,Other OPEX,182561.63,0,0.0,flat
2026-02-01,Budget,Operations,Other OPEX,174687.94,0,0.0,flat
2026-02-01,Budget,Product & R&D,Other OPEX,148344.21,0,0.0,flat
2026-02-01,Budget,Finance,Other OPEX,88879.96,0,0.0,flat
2026-02-01,Budget,People,Other OPEX,79997.38,0,0.0,flat
2026-02-01,Budget,Technology,Other OPEX,110515.49,0,0.0,flat
2026-02-01,Budget,Corporate,Other OPEX,126947.01,0,0.0,flat
2026-03-01,Budget,Sales,Payroll,5071557.82,49,103501.18,payroll
2026-03-01,Budget,Operations,Payroll,3469446.71,37,93768.83,payroll
2026-03-01,Budget,Product & R&D,Payroll,6493089.12,56,115948.02,payroll
2026-03-01,Budget,Finance,Payroll,1105889.3,10,110588.93,payroll
