date,scenario,country,product,product_family,segment,units,list_price,discount_rate,gross_sales,discount_value,net_revenue,unit_cost,cogs,gross_profit,gross_margin_pct
2026-01-01,Budget,Norway,EdgeHub Pro,Control Systems,Enterprise,40,44350,0.075398,1774000,133756.05,1640243.95,24249.19,969967.6,670276.35,0.408644
2026-01-01,Budget,Norway,EdgeHub Pro,Control Systems,SME,25,44350,0.039322,1108750,43598.27,1065151.73,24249.19,606229.75,458921.98,0.430851
2026-01-01,Budget,Norway,EdgeHub Pro,Control Systems,Distributor,16,44350,0.139278,709600,98831.67,610768.33,24249.19,387987.04,222781.29,0.364756
2026-01-01,Budget,Norway,EdgeHub Pro,Control Systems,Systems Integrator,17,44350,0.101931,753950,76850.88,677099.12,24249.19,412236.23,264862.89,0.391173
2026-01-01,Budget,Norway,EdgeHub Core,Control Systems,Enterprise,64,29550,0.079244,1891200,149866.25,1741333.75,15593.72,997998.08,743335.67,0.426877
2026-01-01,Budget,Norway,EdgeHub Core,Control Systems,SME,36,29550,0.023939,1063800,25466.31,1038333.69,15593.72,561373.92,476959.77,0.459351
2026-01-01,Budget,Norway,EdgeHub Core,Control Systems,Distributor,25,29550,0.135364,738750,100000.16,638749.84,15593.72,389843.0,248906.84,0.389678
2026-01-01,Budget,Norway,EdgeHub Core,Control Systems,Systems Integrator,25,29550,0.09226,738750,68157.08,670592.92,15593.72,389843.0,280749.92,0.418659
2026-01-01,Budget,Norway,Control Mini,Control Systems,Enterprise,60,15300,0.048186,918000,44234.75,873765.25,7604.11,456246.6,417518.65,0.477838
2026-01-01,Budget,Norway,Control Mini,Control Systems,SME,41,15300,0.020364,627300,12774.34,614525.66,7604.11,311768.51,302757.15,0.492668
2026-01-01,Budget,Norway,Control Mini,Control Systems,Distributor,28,15300,0.133273,428400,57094.15,371305.85,7604.11,212915.08,158390.77,0.426578
2026-01-01,Budget,Norway,Control Mini,Control Systems,Systems Integrator,26,15300,0.102557,397800,40797.17,357002.83,7604.11,197706.86,159295.97,0.446204
2026-01-01,Budget,Norway,Sensor X Pro,Sensor Systems,Enterprise,82,12150,0.062756,996300,62523.8,933776.2,5603.56,459491.92,474284.28,0.507921
2026-01-01,Budget,Norway,Sensor X Pro,Sensor Systems,SME,56,12150,0.029432,680400,20025.53,660374.47,5603.56,313799.36,346575.11,0.524816
2026-01-01,Budget,Norway,Sensor X Pro,Sensor Systems,Distributor,36,12150,0.152358,437400,66641.39,370758.61,5603.56,201728.16,169030.45,0.455904
2026-01-01,Budget,Norway,Sensor X Pro,Sensor Systems,Systems Integrator,40,12150,0.105219,486000,51136.43,434863.57,5603.56,224142.4,210721.17,0.484568
2026-01-01,Budget,Norway,Sensor X,Sensor Systems,Enterprise,98,8050,0.084246,788900,66461.67,722438.33,3455.95,338683.1,383755.23,0.531194
2026-01-01,Budget,Norway,Sensor X,Sensor Systems,SME,76,8050,0.050129,611800,30668.92,581131.08,3455.95,262652.2,318478.88,0.548033
2026-01-01,Budget,Norway,Sensor X,Sensor Systems,Distributor,55,8050,0.138587,442750,61359.39,381390.61,3455.95,190077.25,191313.36,0.501621
2026-01-01,Budget,Norway,Sensor X,Sensor Systems,Systems Integrator,48,8050,0.102406,386400,39569.68,346830.32,3455.95,165885.6,180944.72,0.52171
2026-01-01,Budget,Norway,Sensor Lite,Sensor Systems,Enterprise,150,4100,0.048963,615000,30112.24,584887.76,1649.39,247408.5,337479.26,0.576998
2026-01-01,Budget,Norway,Sensor Lite,Sensor Systems,SME,83,4100,0.062538,340300,21281.68,319018.32,1649.39,136899.37,182118.95,0.570873
2026-01-01,Budget,Norway,Sensor Lite,Sensor Systems,Distributor,60,4100,0.135136,246000,33243.46,212756.54,1649.39,98963.4,113793.14,0.534851
2026-01-01,Budget,Norway,Sensor Lite,Sensor Systems,Systems Integrator,56,4100,0.10203,229600,23426.09,206173.91,1649.39,92365.84,113808.07,0.552
2026-01-01,Budget,Norway,Service Kit,Accessories & Services,Enterprise,105,5050,0.078186,530250,41458.13,488791.87,1535.09,161184.45,327607.42,0.670239
2026-01-01,Budget,Norway,Service Kit,Accessories & Services,SME,63,5050,0.047463,318150,15100.35,303049.65,1535.09,96710.67,206338.98,0.680875
2026-01-01,Budget,Norway,Service Kit,Accessories & Services,Distributor,51,5050,0.150659,257550,38802.23,218747.77,1535.09,78289.59,140458.18,0.642101
2026-01-01,Budget,Norway,Service Kit,Accessories & Services,Systems Integrator,46,5050,0.136895,232300,31800.71,200499.29,1535.09,70614.14,129885.15,0.647809
2026-01-01,Budget,Norway,Connectivity Pack,Accessories & Services,Enterprise,132,3050,0.057489,402600,23145.07,379454.93,919.39,121359.48,258095.45,0.680174
2026-01-01,Budget,Norway,Connectivity Pack,Accessories & Services,SME,80,3050,0.055116,244000,13448.3,230551.7,919.39,73551.2,157000.5,0.680977
2026-01-01,Budget,Norway,Connectivity Pack,Accessories & Services,Distributor,66,3050,0.15574,201300,31350.46,169949.54,919.39,60679.74,109269.8,0.642954
2026-01-01,Budget,Norway,Connectivity Pack,Accessories & Services,Systems Integrator,58,3050,0.082932,176900,14670.67,162229.33,919.39,53324.62,108904.71,0.671301
2026-01-01,Budget,Sweden,EdgeHub Pro,Control Systems,Enterprise,20,43450,0.05115,869000,44449.35,824550.65,24710.37,494207.4,330343.25,0.400634
2026-01-01,Budget,Sweden,EdgeHub Pro,Control Systems,SME,16,43450,0.045278,695200,31477.27,663722.73,24710.37,395365.92,268356.81,0.404321
2026-01-01,Budget,Sweden,EdgeHub Pro,Control Systems,Distributor,16,43450,0.144966,695200,100780.36,594419.64,24710.37,395365.92,199053.72,0.334871
2026-01-01,Budget,Sweden,EdgeHub Pro,Control Systems,Systems Integrator,12,43450,0.087184,521400,45457.74,475942.26,24710.37,296524.44,179417.82,0.376974
2026-01-01,Budget,Sweden,EdgeHub Core,Control Systems,Enterprise,32,29000,0.04496,928000,41722.88,886277.12,15468.22,494983.04,391294.08,0.441503
2026-01-01,Budget,Sweden,EdgeHub Core,Control Systems,SME,27,29000,0.029963,783000,23461.03,759538.97,15468.22,417641.94,341897.03,0.450138
2026-01-01,Budget,Sweden,EdgeHub Core,Control Systems,Distributor,27,29000,0.1523,783000,119250.9,663749.1,15468.22,417641.94,246107.16,0.370783
2026-01-01,Budget,Sweden,EdgeHub Core,Control Systems,Systems Integrator,19,29000,0.106084,551000,58452.28,492547.72,15468.22,293896.18,198651.54,0.403314
2026-01-01,Budget,Sweden,Control Mini,Control Systems,Enterprise,41,15000,0.07048,615000,43345.2,571654.8,7629.45,312807.45,258847.35,0.452804
2026-01-01,Budget,Sweden,Control Mini,Control Systems,SME,33,15000,0.033719,495000,16690.9,478309.1,7629.45,251771.85,226537.25,0.473621
2026-01-01,Budget,Sweden,Control Mini,Control Systems,Distributor,40,15000,0.12069,600000,72414.0,527586.0,7629.45,305178.0,222408.0,0.421558
