date,scenario,cost_centre,account,amount,headcount,average_employee_cost,seasonality_profile
2026-01-01,Latest Forecast,Corporate,Facilities,1369421.41,0,0.0,flat
2026-01-01,Latest Forecast,Corporate,Other OPEX,125229.62,0,0.0,flat
2026-01-01,Latest Forecast,Corporate,Payroll,1096874.0,8,137109.25,payroll
2026-01-01,Latest Forecast,Corporate,Professional Services,359908.36,0,0.0,year_end
2026-01-01,Latest Forecast,Corporate,Travel,91116.72,0,0.0,travel
2026-01-01,Latest Forecast,Finance,Other OPEX,85355.26,0,0.0,flat
2026-01-01,Latest Forecast,Finance,Payroll,1198076.55,11,108916.05,payroll
2026-01-01,Latest Forecast,Finance,Professional Services,255446.88,0,0.0,year_end
2026-01-01,Latest Forecast,Finance,Software,169223.58,0,0.0,flat
2026-01-01,Latest Forecast,Operations,Contractors,523831.64,0,0.0,flat
2026-01-01,Latest Forecast,Operations,Other OPEX,179273.56,0,0.0,flat
2026-01-01,Latest Forecast,Operations,Payroll,3407975.65,37,92107.45,payroll
2026-01-01,Latest Forecast,Operations,Travel,140925.13,0,0.0,travel
2026-01-01,Latest Forecast,People,Other OPEX,74787.81,0,0.0,flat
2026-01-01,Latest Forecast,People,Payroll,833380.88,8,104172.61,payroll
2026-01-01,Latest Forecast,People,Professional Services,176456.2,0,0.0,flat
2026-01-01,Latest Forecast,Product & R&D,Contractors,1581898.47,0,0.0,project
2026-01-01,Latest Forecast,Product & R&D,Other OPEX,150208.17,0,0.0,flat
2026-01-01,Latest Forecast,Product & R&D,Payroll,6420434.16,56,114650.61,payroll
2026-01-01,Latest Forecast,Product & R&D,R&D,1519771.68,0,0.0,project
2026-01-01,Latest Forecast,Product & R&D,Software,359132.19,0,0.0,flat
2026-01-01,Latest Forecast,Sales,Marketing,2577740.32,0,0.0,commercial
2026-01-01,Latest Forecast,Sales,Other OPEX,206202.06,0,0.0,flat
2026-01-01,Latest Forecast,Sales,Payroll,5070510.2,49,103479.8,payroll
2026-01-01,Latest Forecast,Sales,Travel,522034.64,0,0.0,travel
2026-01-01,Latest Forecast,Technology,Contractors,616842.21,0,0.0,project
2026-01-01,Latest Forecast,Technology,Other OPEX,115104.75,0,0.0,flat
2026-01-01,Latest Forecast,Technology,Payroll,1975849.74,18,109769.43,payroll
2026-01-01,Latest Forecast,Technology,Software,1019144.87,0,0.0,flat
2026-02-01,Latest Forecast,Corporate,Facilities,1379348.93,0,0.0,flat
2026-02-01,Latest Forecast,Corporate,Other OPEX,122546.7,0,0.0,flat
2026-02-01,Latest Forecast,Corporate,Payroll,1236861.63,9,137429.07,payroll
2026-02-01,Latest Forecast,Corporate,Professional Services,350603.23,0,0.0,year_end
2026-02-01,Latest Forecast,Corporate,Travel,103382.45,0,0.0,travel
2026-02-01,Latest Forecast,Finance,Other OPEX,83372.56,0,0.0,flat
2026-02-01,Latest Forecast,Finance,Payroll,1197651.51,11,108877.41,payroll
2026-02-01,Latest Forecast,Finance,Professional Services,252403.74,0,0.0,year_end
