date,scenario,country,product,product_family,segment,units,list_price,discount_rate,gross_sales,discount_value,net_revenue,unit_cost,cogs,gross_profit,gross_margin_pct
2026-01-01,Latest Forecast,Denmark,Connectivity Pack,Accessories & Services,Distributor,42,3100,0.149269,130200,19434.82,110765.18,905.57,38033.94,72731.24,0.656625
2026-01-01,Latest Forecast,Denmark,Connectivity Pack,Accessories & Services,Enterprise,72,3100,0.076272,223200,17023.91,206176.09,905.57,65201.04,140975.05,0.68376
2026-01-01,Latest Forecast,Denmark,Connectivity Pack,Accessories & Services,SME,43,3100,0.041357,133300,5512.89,127787.11,905.57,38939.51,88847.6,0.695278
2026-01-01,Latest Forecast,Denmark,Connectivity Pack,Accessories & Services,Systems Integrator,31,3100,0.118417,96100,11379.87,84720.13,905.57,28072.67,56647.46,0.668642
2026-01-01,Latest Forecast,Denmark,Control Mini,Control Systems,Distributor,24,15550,0.129316,373200,48260.73,324939.27,7816.56,187597.44,137341.83,0.422669
2026-01-01,Latest Forecast,Denmark,Control Mini,Control Systems,Enterprise,34,15550,0.090695,528700,47950.45,480749.55,7816.56,265763.04,214986.51,0.44719
2026-01-01,Latest Forecast,Denmark,Control Mini,Control Systems,SME,20,15550,0.041618,311000,12943.2,298056.8,7816.56,156331.2,141725.6,0.475499
2026-01-01,Latest Forecast,Denmark,Control Mini,Control Systems,Systems Integrator,18,15550,0.095164,279900,26636.4,253263.6,7816.56,140698.08,112565.52,0.44446
2026-01-01,Latest Forecast,Denmark,EdgeHub Core,Control Systems,Distributor,15,30000,0.122695,450000,55212.75,394787.25,15784.29,236764.35,158022.9,0.400274
2026-01-01,Latest Forecast,Denmark,EdgeHub Core,Control Systems,Enterprise,26,30000,0.057204,780000,44619.12,735380.88,15784.29,410391.54,324989.34,0.441933
2026-01-01,Latest Forecast,Denmark,EdgeHub Core,Control Systems,SME,17,30000,0.048041,510000,24500.91,485499.09,15784.29,268332.93,217166.16,0.447305
2026-01-01,Latest Forecast,Denmark,EdgeHub Core,Control Systems,Systems Integrator,13,30000,0.08799,390000,34316.1,355683.9,15784.29,205195.77,150488.13,0.423095
2026-01-01,Latest Forecast,Denmark,EdgeHub Pro,Control Systems,Distributor,10,45000,0.125819,450000,56618.55,393381.45,24785.77,247857.7,145523.75,0.36993
2026-01-01,Latest Forecast,Denmark,EdgeHub Pro,Control Systems,Enterprise,14,45000,0.051167,630000,32235.21,597764.79,24785.77,347000.78,250764.01,0.419503
2026-01-01,Latest Forecast,Denmark,EdgeHub Pro,Control Systems,SME,8,45000,0.040838,360000,14701.68,345298.32,24785.77,198286.16,147012.16,0.425754
2026-01-01,Latest Forecast,Denmark,EdgeHub Pro,Control Systems,Systems Integrator,8,45000,0.101827,360000,36657.72,323342.28,24785.77,198286.16,125056.12,0.386761
2026-01-01,Latest Forecast,Denmark,Sensor Lite,Sensor Systems,Distributor,48,4200,0.149774,201600,30194.44,171405.56,1649.37,79169.76,92235.8,0.538114
2026-01-01,Latest Forecast,Denmark,Sensor Lite,Sensor Systems,Enterprise,84,4200,0.051401,352800,18134.27,334665.73,1649.37,138547.08,196118.65,0.586014
2026-01-01,Latest Forecast,Denmark,Sensor Lite,Sensor Systems,SME,53,4200,0.052113,222600,11600.35,210999.65,1649.37,87416.61,123583.04,0.585703
2026-01-01,Latest Forecast,Denmark,Sensor Lite,Sensor Systems,Systems Integrator,34,4200,0.093287,142800,13321.38,129478.62,1649.37,56078.58,73400.04,0.566889
2026-01-01,Latest Forecast,Denmark,Sensor X,Sensor Systems,Distributor,38,8150,0.136086,309700,42145.83,267554.17,3385.09,128633.42,138920.75,0.519225
