date,scenario,country,product,product_family,segment,units,list_price,discount_rate,gross_sales,discount_value,net_revenue,unit_cost,cogs,gross_profit,gross_margin_pct
2024-01-01,Actual,Norway,EdgeHub Pro,Control Systems,Enterprise,31,42000,0.079005,1302000,102864.51,1199135.49,23084.1,715607.1,483528.39,0.403231
2024-01-01,Actual,Norway,EdgeHub Pro,Control Systems,SME,23,42000,0.016588,966000,16024.01,949975.99,23084.1,530934.3,419041.69,0.441108
2024-01-01,Actual,Norway,EdgeHub Pro,Control Systems,Distributor,14,42000,0.141534,588000,83221.99,504778.01,23084.1,323177.4,181600.61,0.359763
2024-01-01,Actual,Norway,EdgeHub Pro,Control Systems,Systems Integrator,14,42000,0.099798,588000,58681.22,529318.78,23084.1,323177.4,206141.38,0.389447
2024-01-01,Actual,Norway,EdgeHub Core,Control Systems,Enterprise,54,28000,0.079334,1512000,119953.01,1392046.99,14351.57,774984.78,617062.21,0.443277
2024-01-01,Actual,Norway,EdgeHub Core,Control Systems,SME,32,28000,0.053527,896000,47960.19,848039.81,14351.57,459250.24,388789.57,0.458457
2024-01-01,Actual,Norway,EdgeHub Core,Control Systems,Distributor,24,28000,0.129688,672000,87150.34,584849.66,14351.57,344437.68,240411.98,0.411066
2024-01-01,Actual,Norway,EdgeHub Core,Control Systems,Systems Integrator,22,28000,0.088493,616000,54511.69,561488.31,14351.57,315734.54,245753.77,0.437683
2024-01-01,Actual,Norway,Control Mini,Control Systems,Enterprise,59,14500,0.067782,855500,57987.5,797512.5,7275.9,429278.1,368234.4,0.461729
2024-01-01,Actual,Norway,Control Mini,Control Systems,SME,35,14500,0.05467,507500,27745.03,479754.97,7275.9,254656.5,225098.47,0.469195
2024-01-01,Actual,Norway,Control Mini,Control Systems,Distributor,26,14500,0.13486,377000,50842.22,326157.78,7275.9,189173.4,136984.38,0.419994
2024-01-01,Actual,Norway,Control Mini,Control Systems,Systems Integrator,24,14500,0.106388,348000,37023.02,310976.98,7275.9,174621.6,136355.38,0.438474
2024-01-01,Actual,Norway,Sensor X Pro,Sensor Systems,Enterprise,78,11500,0.07517,897000,67427.49,829572.51,5222.8,407378.4,422194.11,0.50893
2024-01-01,Actual,Norway,Sensor X Pro,Sensor Systems,SME,55,11500,0.035123,632500,22215.3,610284.7,5222.8,287254.0,323030.7,0.529311
2024-01-01,Actual,Norway,Sensor X Pro,Sensor Systems,Distributor,33,11500,0.130235,379500,49424.18,330075.82,5222.8,172352.4,157723.42,0.47784
2024-01-01,Actual,Norway,Sensor X Pro,Sensor Systems,Systems Integrator,34,11500,0.113548,391000,44397.27,346602.73,5222.8,177575.2,169027.53,0.487669
2024-01-01,Actual,Norway,Sensor X,Sensor Systems,Enterprise,96,7600,0.060106,729600,43853.34,685746.66,3195.62,306779.52,378967.14,0.552634
2024-01-01,Actual,Norway,Sensor X,Sensor Systems,SME,68,7600,0.048919,516800,25281.34,491518.66,3195.62,217302.16,274216.5,0.557896
2024-01-01,Actual,Norway,Sensor X,Sensor Systems,Distributor,48,7600,0.132014,364800,48158.71,316641.29,3195.62,153389.76,163251.53,0.515572
